href,name_cn,name_pinyin,link
/ershoufang/binglang/,槟榔,binglang,https://xm.lianjia.com/ershoufang/binglang/
/ershoufang/bindong/,滨东,bindong,https://xm.lianjia.com/ershoufang/bindong/
/ershoufang/bailuzhou/,白鹭洲,bailuzhou,https://xm.lianjia.com/ershoufang/bailuzhou/
/ershoufang/douxilu/,斗西路,douxilu,https://xm.lianjia.com/ershoufang/douxilu/
/ershoufang/dongdu/,东渡,dongdu,https://xm.lianjia.com/ershoufang/dongdu/
/ershoufang/fushan3/,富山,fushan3,https://xm.lianjia.com/ershoufang/fushan3/
/ershoufang/gongyuanxiaoxuejizhoubian/,公园小学及周边,gongyuanxiaoxuejizhoubian,https://xm.lianjia.com/ershoufang/gongyuanxiaoxuejizhoubian/
/ershoufang/gulangyu/,鼓浪屿,gulangyu,https://xm.lianjia.com/ershoufang/gulangyu/
/ershoufang/guanyinshan/,观音山,guanyinshan,https://xm.lianjia.com/ershoufang/guanyinshan/
/ershoufang/hexiangdonglu/,禾祥东路,hexiangdonglu,https://xm.lianjia.com/ershoufang/hexiangdonglu/
/ershoufang/huochezhan4/,火车站,huochezhan4,https://xm.lianjia.com/ershoufang/huochezhan4/
/ershoufang/huizhanzhongxin/,会展中心,huizhanzhongxin,https://xm.lianjia.com/ershoufang/huizhanzhongxin/
/ershoufang/hexiangxilu/,禾祥西路,hexiangxilu,https://xm.lianjia.com/ershoufang/hexiangxilu/
/ershoufang/huangcuo/,黄厝,huangcuo,https://xm.lianjia.com/ershoufang/huangcuo/
/ershoufang/hubianshuiku/,湖边水库,hubianshuiku,https://xm.lianjia.com/ershoufang/hubianshuiku/
/ershoufang/jinshang/,金尚,jinshang,https://xm.lianjia.com/ershoufang/jinshang/
/ershoufang/jiangtou/,江头,jiangtou,https://xm.lianjia.com/ershoufang/jiangtou/
/ershoufang/jinjiting/,金鸡亭,jinjiting,https://xm.lianjia.com/ershoufang/jinjiting/
/ershoufang/lianban/,莲坂,lianban,https://xm.lianjia.com/ershoufang/lianban/
/ershoufang/lianqian/,莲前,lianqian,https://xm.lianjia.com/ershoufang/lianqian/
/ershoufang/lianhuayicun/,莲花一村,lianhuayicun,https://xm.lianjia.com/ershoufang/lianhuayicun/
/ershoufang/lundu/,轮渡,lundu,https://xm.lianjia.com/ershoufang/lundu/
/ershoufang/lianhua4/,莲花,lianhua4,https://xm.lianjia.com/ershoufang/lianhua4/
/ershoufang/nanshanlu/,南山路,nanshanlu,https://xm.lianjia.com/ershoufang/nanshanlu/
/ershoufang/qixinglu/,七星路,qixinglu,https://xm.lianjia.com/ershoufang/qixinglu/
/ershoufang/qianpu/,前埔,qianpu,https://xm.lianjia.com/ershoufang/qianpu/
/ershoufang/ruanjianyuan1/,软件园,ruanjianyuan1,https://xm.lianjia.com/ershoufang/ruanjianyuan1/
/ershoufang/ruijing/,瑞景,ruijing,https://xm.lianjia.com/ershoufang/ruijing/
/ershoufang/sibei/,思北,sibei,https://xm.lianjia.com/ershoufang/sibei/
/ershoufang/simingnanlu/,思明南路,simingnanlu,https://xm.lianjia.com/ershoufang/simingnanlu/
/ershoufang/shiyanxiaoxuejizhoubian/,实验小学及周边,shiyanxiaoxuejizhoubian,https://xm.lianjia.com/ershoufang/shiyanxiaoxuejizhoubian/
/ershoufang/songbai/,松柏,songbai,https://xm.lianjia.com/ershoufang/songbai/
/ershoufang/shizhengfu2/,市政府,shizhengfu2,https://xm.lianjia.com/ershoufang/shizhengfu2/
/ershoufang/shada/,厦大,shada,https://xm.lianjia.com/ershoufang/shada/
/ershoufang/sm/,SM,sm,https://xm.lianjia.com/ershoufang/sm/
/ershoufang/tiyuzhongxin1/,体育中心,tiyuzhongxin1,https://xm.lianjia.com/ershoufang/tiyuzhongxin1/
/ershoufang/waiguoyuxuexiao/,外国语学校,waiguoyuxuexiao,https://xm.lianjia.com/ershoufang/waiguoyuxuexiao/
/ershoufang/wenyuanlu/,文园路,wenyuanlu,https://xm.lianjia.com/ershoufang/wenyuanlu/
/ershoufang/wenzao/,文灶,wenzao,https://xm.lianjia.com/ershoufang/wenzao/
/ershoufang/xianyueshequ/,仙岳社区,xianyueshequ,https://xm.lianjia.com/ershoufang/xianyueshequ/
/ershoufang/yueyangshequ/,岳阳社区,yueyangshequ,https://xm.lianjia.com/ershoufang/yueyangshequ/
/ershoufang/youluncheng/,邮轮城,youluncheng,https://xm.lianjia.com/ershoufang/youluncheng/
/ershoufang/zhongshanlu/,中山路,zhongshanlu,https://xm.lianjia.com/ershoufang/zhongshanlu/
/ershoufang/baoshuiqu/,保税区,baoshuiqu,https://xm.lianjia.com/ershoufang/baoshuiqu/
/ershoufang/dongdu/,东渡,dongdu,https://xm.lianjia.com/ershoufang/dongdu/
/ershoufang/dianqian/,殿前,dianqian,https://xm.lianjia.com/ershoufang/dianqian/
/ershoufang/datangshijia/,大唐世家,datangshijia,https://xm.lianjia.com/ershoufang/datangshijia/
/ershoufang/fanghu/,枋湖,fanghu,https://xm.lianjia.com/ershoufang/fanghu/
/ershoufang/guanyinshan/,观音山,guanyinshan,https://xm.lianjia.com/ershoufang/guanyinshan/
/ershoufang/hulidadao/,湖里大道,hulidadao,https://xm.lianjia.com/ershoufang/hulidadao/
/ershoufang/hubianshuiku/,湖边水库,hubianshuiku,https://xm.lianjia.com/ershoufang/hubianshuiku/
/ershoufang/jinshang/,金尚,jinshang,https://xm.lianjia.com/ershoufang/jinshang/
/ershoufang/jichangqu/,机场区,jichangqu,https://xm.lianjia.com/ershoufang/jichangqu/
/ershoufang/jiangtou/,江头,jiangtou,https://xm.lianjia.com/ershoufang/jiangtou/
/ershoufang/jinshan3/,金山,jinshan3,https://xm.lianjia.com/ershoufang/jinshan3/
/ershoufang/lianqian/,莲前,lianqian,https://xm.lianjia.com/ershoufang/lianqian/
