href,name_cn,name_pinyin,link
/xiaoqu/andingmen/,安定门,andingmen,https://bj.lianjia.com/xiaoqu/andingmen/
/xiaoqu/anzhen1/,安贞,anzhen1,https://bj.lianjia.com/xiaoqu/anzhen1/
/xiaoqu/chaoyangmenwai1/,朝阳门外,chaoyangmenwai1,https://bj.lianjia.com/xiaoqu/chaoyangmenwai1/
/xiaoqu/chaoyangmennei1/,朝阳门内,chaoyangmennei1,https://bj.lianjia.com/xiaoqu/chaoyangmennei1/
/xiaoqu/chongwenmen/,崇文门,chongwenmen,https://bj.lianjia.com/xiaoqu/chongwenmen/
/xiaoqu/dongdan/,东单,dongdan,https://bj.lianjia.com/xiaoqu/dongdan/
/xiaoqu/dongzhimen/,东直门,dongzhimen,https://bj.lianjia.com/xiaoqu/dongzhimen/
/xiaoqu/dianmen/,地安门,dianmen,https://bj.lianjia.com/xiaoqu/dianmen/
/xiaoqu/donghuashi/,东花市,donghuashi,https://bj.lianjia.com/xiaoqu/donghuashi/
/xiaoqu/dongsi1/,东四,dongsi1,https://bj.lianjia.com/xiaoqu/dongsi1/
/xiaoqu/dengshikou/,灯市口,dengshikou,https://bj.lianjia.com/xiaoqu/dengshikou/
/xiaoqu/guangqumen/,广渠门,guangqumen,https://bj.lianjia.com/xiaoqu/guangqumen/
/xiaoqu/gongti/,工体,gongti,https://bj.lianjia.com/xiaoqu/gongti/
/xiaoqu/hepingli/,和平里,hepingli,https://bj.lianjia.com/xiaoqu/hepingli/
/xiaoqu/jiaodaokou/,交道口,jiaodaokou,https://bj.lianjia.com/xiaoqu/jiaodaokou/
/xiaoqu/jianguomenwai/,建国门外,jianguomenwai,https://bj.lianjia.com/xiaoqu/jianguomenwai/
/xiaoqu/jianguomennei/,建国门内,jianguomennei,https://bj.lianjia.com/xiaoqu/jianguomennei/
/xiaoqu/jinbaojie/,金宝街,jinbaojie,https://bj.lianjia.com/xiaoqu/jinbaojie/
/xiaoqu/liupukang/,六铺炕,liupukang,https://bj.lianjia.com/xiaoqu/liupukang/
/xiaoqu/puhuangyu/,蒲黄榆,puhuangyu,https://bj.lianjia.com/xiaoqu/puhuangyu/
/xiaoqu/qianmen/,前门,qianmen,https://bj.lianjia.com/xiaoqu/qianmen/
/xiaoqu/taoranting1/,陶然亭,taoranting1,https://bj.lianjia.com/xiaoqu/taoranting1/
